STRID,LAN,Remark
msg_anti_robot3,"Do trä l¶i ðúng câu höi, bÕn ðßþc thß·ng %d lßþng vàng %d lßþng bÕc %d ð°ng",
msg_anti_robot4,"Do trä l¶i ðúng câu höi, bÕn ðßþc thß·ng %d lßþng bÕc %d ð°ng",
msg_anti_robot5,"Do trä l¶i ðúng câu höi, bÕn ðßþc thß·ng %d ð°ng",
msg_anti_robot6,"Do trä l¶i ðúng câu höi, bÕn ðßþc thß·ng %d kinh nghi®m",
msg_anti_robot7,"Do trä l¶i ðúng câu höi, bÕn ðßþc thß·ng %d linh lñc",
msg_anti_robot8,"Tài khoän cüa ðÕo hæu ðã tÕm khóa do trä l¶i sai",
msg_anti_robot9,"ÐÕo hæu ðang b¸ h® th¯ng tÕm khóa, trä l¶i xong câu höi s¨ tr· v« bình thß¶ng.",
msg_armor,"Phòng ngñ",
MSG_ARMOR_PHY_," + %d phòng ngñ v§t lý",
MSG_ARMOR_PHY_1," + %d phòng ngñ v§t lý %s",
msg_ask_err1,"Hôm nay bÕn ðã tham gia Höi ðáp trí tu® chßa?",
msg_askandanswer_end,"Hôm nay ph¥n höi ðáp trí tu® ðã kªt thúc",
msg_askandanwser,"Höi ðáp trí tu®",
msg_askandanwser_exp,"Kinh nghi®m",
msg_askandanwser_nimbus,"Linh lñc",
msg_att_lev,"%d c¤p   %03.4f%%",
msg_atuo_walk2,"Tñ ðµng tìm ðß¶ng th¤t bÕi",
msg_auc_amulet,"Hµ thân phù ",
msg_auc_ask_cancel,"BÕn th§t sñ mu¯n hüy vi®c rao bán v§t ph¦m này?",
msg_auc_base_over_unique,"Giá kh·i ði¬m cao h½n giá bán ngay.",
msg_auc_bid_failed,"Ð¤u giá th¤t bÕi",
msg_auc_bid_failed_p_c,"Ð¤u giá [%s] th¤t bÕi
Ngân lßþng trä: %s",
msg_auc_bid_failed_p_t,"Ð¤u giá th¤t bÕi: %s",
msg_auc_bid_success,"Ð¤u giá thành công!",
msg_auc_bid_success_p_c,"Ð¤u giá  [%s] thành công
T¯n Phí: %s",
msg_auc_bid_success_p_t,"Ð¤u giá thành công: %s",
msg_auc_cannot_sale,"V§t ph¦m không th¬ giao d¸ch.",
msg_auc_card_buy_failed_content,"Ði¬m thë mà bÕn ð¤u giá không th¬ sØ døng ðßþc, hüy bö ð¤u giá, vui lòng ki¬m tra lÕi!",
msg_auc_card_buy_failed_title,"Ð¤u giá th¤t bÕi",
msg_auc_card_buy_success_content,"BÕn ðã mua ðßþc %d MCash t× h® th¯ng rao bán, ð°ng th¶i nÕp thë thành công, vui lòng ki¬m tra lÕi!",
msg_auc_card_buy_success_title,"Mua thë thành công!",
msg_auc_card_cancel,"Hüy bö rao bán thë",
msg_auc_card_cancel_content,"Ðã hüy bö thë mà bÕn rao bán!",
msg_auc_card_exists,"Thë vô hi®u, ðang rao bán!",
msg_auc_card_invalid,"S¯ seri thë ho£c mã PIN không ðúng",
msg_auc_card_invalid_cancal_content,"Thë mà bÕn rao bán không có giá tr¸, hüy bö rao bán!",
msg_auc_card_invalid_cancel_title,"Hüy bö rao bán: thë vô hi®u",
msg_auc_card_pw_length_error,"Sai m§t mã!",
msg_auc_card_sncode_length_error,"Sai s¯ seri thë!",
msg_auc_card_sp_null,"S¯ seri thë ho£c m§t mã không th¬ ð¬ tr¯ng",
msg_auc_clothing,"Khôi giáp",
msg_auc_color_all,"Toàn bµ",
msg_auc_color_blue,"Thiên Thanh",
msg_auc_color_golden,"Hoàng Kim",
msg_auc_color_green,"Ng÷c Løc",
msg_auc_color_white,"BÕch Nh§t",
msg_auc_const_none,"Không có ",
msg_auc_cuff,"Hµ oän",
msg_auc_diamond_0,"200 MCash",
msg_auc_diamond_1,"530 MCash",
msg_auc_diamond_2,"1000 MCash",
msg_auc_diamond_cancel,"Hüy bö rao bán: MCash",
msg_auc_diamond_cancel_content,"MCash mà bÕn rao bán ðã hüy bö!",
msg_auc_diamond_const,MCash,
msg_auc_diamond_error_not_enough,"Rao bán th¤t bÕi : có th¬ do không ðü MCash",
msg_auc_diamond_error_server_busy,"Máy chü ðang b§n, vui lòng thØ lÕi sau",
msg_auc_diamond_num,"%d MCash",
msg_auc_direct_save_failed,"S¯ seri thë không t°n tÕi ho£c ðã vô hi®u",
msg_auc_direct_save_success,"NÕp thë thành công, s¯ MCash hi®n tÕi là %d ",
msg_auc_expendable,"V§t ph¦m tiêu hao",
msg_auc_glove,"Hµ thü",
msg_auc_invalid_item,"V§t ph¦m không hþp l®.",
msg_auc_item_bid_level_low,"C¤p ðµ cüa bÕn th¤p h½n c¤p ðµ yêu c¥u t¯i thi¬u cüa vi®c ð¤u giá v§t ph¦m, không th¬ ð¤u giá.",
msg_auc_item_level_low,"C¤p ðµ cüa bÕn th¤p h½n c¤p ðµ yêu c¥u t¯i thi¬u cüa vi®c rao bán v§t ph¦m, không th¬ rao bán.",
msg_auc_item_money_overflow,"Giá rao bán vßþt quá gi¾i hÕn giá yêu c¥u cüa vi®c rao bán v§t ph¦m, không th¬ rao bán.",
msg_auc_item_money_too_low,"Giá rao bán th¤p h½n giá yêu c¥u t¯i thi¬u cüa vi®c rao bán v§t ph¦m, không th¬ rao bán.",
msg_auc_item_notexist,"V§t ph¦m không còn t°n tÕi.",
msg_auc_item_pricehigher,"V§t ph¦m này ðã có giá cao h½n.",
msg_auc_item_too_much,"BÕn rao bán cùng lúc quá nhi«u v§t ph¦m.",
msg_auc_kneepad,"Hµ t¤t",
msg_auc_lessthan_oneday,"Ít h½n 1 ngày.",
msg_auc_lifeskill,"Nguyên li®u",
msg_auc_long,"  Dài",
msg_auc_mail_card_content,"S¯ Seri: %s
Mã PIN: %s",
msg_auc_mail_card_success,"Rao bán thë thành công",
msg_auc_main_trump,"Pháp bäo chính",
msg_auc_max_price,"Giá cao nh¤t",
msg_auc_medic,"Dßþc t­ ",
msg_auc_middle,"  V×a",
msg_auc_money_overflow,"S¯ ti«n rao bán vßþt qua gi¾i hÕn, không th¬ rao bán.",
msg_auc_money_show_bronze_p,"%d ð°ng",
msg_auc_money_show_gold_p,"%d lßþng vàng, %d lßþng bÕc, %d ð°ng",
msg_auc_money_show_sliver_p,"%d lßþng bÕc, %d ð°ng",
msg_auc_money_too_low,"S¯ ti«n rao bán nhö h½n s¯ ti«n th¤p nh¤t, không th¬ rao bán.",
msg_auc_need_higher_price,"BÕn phäi ðßa ra giá cao h½n.",
msg_auc_no_base_price,"Chßa ð£t giá kh·i ði¬m.",
msg_auc_no_unique,"Chï cho phép ð¤u giá",
msg_auc_notenough_handlingcharge,"Phí bäo quän không ðü.",
msg_auc_notenough_money,"BÕn không ðü ngân lßþng.",
msg_auc_notenough_size,"BÕn không ðü ch² tr¯ng.",
msg_auc_only_unique,"Khi rao bán MCash, giá kh·i ði¬m và giá bán ngay phäi b¢ng nhau m¾i cho phép rao bán.",
msg_auc_other,Khác,
msg_auc_party_all,"Toàn bµ",
msg_auc_party_bh,"Bách Hoa Phi Tiên",
msg_auc_party_em,"Nga My Thu§t Sî ",
msg_auc_party_fm,"Ph§t Môn Tång Nhân",
msg_auc_party_qc,"Thanh Thành †n Giä ",
msg_auc_party_xq,"Tiên C¥m Linh SÑ ",
msg_auc_pet_rider,"Linh thú/ KÜ thú",
msg_auc_point_bid_level_low,"C¤p ðµ cüa bÕn th¤p h½n c¤p ðµ yêu c¥u t¯i thi¬u cüa vi®c ð¤u giá MCash, không th¬ ð¤u giá.",
msg_auc_point_level_low,"C¤p ðµ cüa bÕn th¤p h½n c¤p ðµ yêu c¥u t¯i thi¬u cüa vi®c rao bán MCash, không th¬ rao bán.",
msg_auc_point_money_overflow,"Giá rao bán vßþt quá gi¾i hÕn giá yêu c¥u cüa vi®c rao bán MCash, không th¬ rao bán.",
msg_auc_point_money_too_low,"Giá rao bán th¤p h½n giá yêu c¥u t¯i thi¬u cüa vi®c rao bán MCash, không th¬ rao bán.",
msg_auc_price_isexceed,"Giá ð¤u cüa [%s] ðã b¸ vßþt!",
msg_auc_price_lower,"Giá ð¤u ðã vßþt qua!",
msg_auc_remain_days,"Còn %d ngày",
msg_auc_ring,"Gi¾i chï ",
msg_auc_sale_cancel,"Hüy bö rao bán",
msg_auc_sale_cancel_p_t,"Hüy bö rao bán: %s",
msg_auc_sale_failed,"Rao bán th¤t bÕi",
msg_auc_sale_failed_p_t,"Rao bán th¤t bÕi: %s",
msg_auc_sale_success,"Rao bán thành công",
msg_auc_sale_success_p_c,"Rao bán [%s] thành công
Ngân lßþng thu: %s",
msg_auc_sale_success_p_t,"Rao bán thành công: %s",
msg_auc_sash,Ðai,
msg_auc_self_bid,"BÕn không th¬ ð¤u giá v§t ph¦m do mình rao bán.",
msg_auc_shoes,Hài,
msg_auc_short,"  Ng¡n",
msg_auc_stone,"Bäo thÕch",
msg_auc_sub_trump,"Pháp bäo h² trþ",
msg_auc_sys_sender,"H® th¯ng rao bán",
msg_auc_total,"T±ng s¯ v§t ph¦m: %d, trang thÑ %d",
msg_auc_type_card,Thë,
msg_auc_unique_ask,"BÕn th§t sñ mu¯n mua ngay v§t ph¦m [%s]?",
msg_auc_very_long,"R¤t dài",
msg_auc_w_bs,"Song Ðoän",
msg_auc_w_cz,"Thi«n Trßþng",
msg_auc_w_fd,"Phi Ðao",
msg_auc_w_fj,"Phi Kiªm",
msg_auc_w_fl,"Phi Luân",
msg_auc_w_fz,"Ph§t Châu",
msg_auc_w_g,"Tiên Cung",
msg_auc_w_gz,"Th¥n Côn",
msg_auc_w_ld,"Liên Ðao",
msg_auc_w_n,"Cñ Nö ",
msg_auc_win_item,"BÕn ð¤u giá ðßþc v§t ph¦m [%s]!",
msg_auc_work_off,"V§t ph¦m [%s] mà bÕn rao bán ðã ðßþc mua!",
msg_auction_card_save_hlink,"Nh§n quà",
msg_auction_get_link,"V§t ph¦m có ðßþc do rao bán",
msg_auction_hint,"Vui lòng ð£t v§t ph¦m c¥n rao bán vào",
msg_auction_hlink,"Rao bán",
MSG_AUTO_BAR_NEEDSAVE,"Lßu thiªt l§p",
MSG_AUTO_BAR_SAVE_CONFIRM,"Xác nh§n lßu thiªt l§p",
MSG_AUTO_BAR_SAVEED,"Thiªt l§p ðã lßu",
msg_auto_walk1,"Tñ ðµng tìm møc tiêu (%d, %d)",
msg_auto_walk3,"Tñ ðµng tìm ðß¶ng: Do ðÕo hæu c¥n ði ðªn cänh ð¸a khác nên c¥n chi %s vàng %s bÕc %s ð°ng, ðÕo hæu có ð°ng ý không?",
msg_auto_walk4,"Tñ ðµng tìm ðß¶ng: Do ðÕo hæu c¥n ði ðªn cänh ð¸a khác nên c¥n chi %s vàng %s bÕc %s ð°ng, ðÕo hæu không ðü ngân lßþng.",
msg_bag_already_exist,"B¯i bao ðÕo cø này ðã có r°i.",
msg_bag_is_full,"B¯i bao cüa bÕn ðã ð¥y",
MSG_BANK,"Thß½ng kh¯",
MSG_BANK_SETPWD,"Thiªt l§p mã thß½ng kh¯ ",
msg_basedmg,"Sát thß½ng c½ bän",
MSG_BASEDMG_ADD,"Sát thß½ng c½ bän tång %.2f ði¬m",
MSG_BATTLESTATE_ERROR,"Thao tác th¤t bÕi, bÕn hi®n không · trong trÕng thái chiªn ð¤u.",
MSG_BATTLESTATE_ERROR1,"Thao tác th¤t bÕi, bÕn hi®n trong trÕng thái chiªn ð¤u.",
msg_block_add_block_hint,"Thêm ngån ch£n",
msg_block_input_user_name,"Vui lòng nh§p tên ngß¶i ch½i mu¯n ngån ch£n.",
msg_block_title,"Danh sách ngån ch£n",
msg_bulletin_success,"Công cáo cüa bÕn ðã ðßþc ðßa ra, h® th¯ng s¨ nhanh chóng phát ði, vui lòng không r¶i khöi.",
msg_bulletin_sysbusy,"Công cáo hi®n ðang trong trÕng thái b§n, vui lòng thØ lÕi sau.",
msg_bulletin_x_to_y,"%s gØi %s thông ði®p: %s",
msg_business_already_lock_item,"V§t ph¦m ðã khóa",
msg_business_bag_full,"B¯i bao ðÕo cø cüa bÕn không th¬ dung nÕp v§t ph¦m mua ðßþc!",
msg_business_buy_item,"Mua v§t ph¦m",
msg_business_can_not_operate_item,"BÕn không th¬ thao tác v§t ph¦m",
msg_business_lock_item,"Khóa v§t ph¦m",
msg_business_lock_item_first,"Vui lòng khóa v§t ph¦m trß¾c",
msg_business_max_buy_one_time,"BÕn ðã mua cùng lúc quá nhi«u loÕi v§t ph¦m này!",
msg_business_money_overflow,"Ngân lßþng cüa bÕn ðã quá nhi«u, không th¬ bán v§t ph¦m!",
msg_business_need_pvp,"C¥n phäi t¯n %d ði¬m thi ð¤u",
msg_business_no_contribute,"Ðµ c¯ng hiªn bang hµi cüa bÕn không ðü, không th¬ tiªn hành mua!",
msg_business_no_credit,"Danh v÷ng cüa bÕn không ðü, không th¬ mua!",
msg_business_no_money,"Ngân lßþng cüa bÕn không ðü, không th¬ mua!",
msg_business_no_pvp,"Ði¬m thi ð¤u cüa bÕn không ðü, không th¬ tiªn hành mua!",
msg_business_sale_item,"Bán v§t ph¦m",
msg_business_sale_max,"Trong mµt l¥n bÕn t¯i ða chï có th¬ bán loÕi v§t ph¦m này!",
msg_business_shop_far_can_not_buy,"BÕn cách ti®m quán quá xa, không th¬ mua ðßþc.",
msg_business_shop_far_can_not_sale,"BÕn cách ti®m quán quá xa, không th¬ bán ðßþc.",
msg_business_shop_item_already_sale_out,"[%s] ðã bán hªt!",
msg_business_trade_can_not_operate_item,"Có ngß¶i không th¬ thao tác v§t ph¦m",
msg_business_trade_conform_trade,"Xác nh§n giao d¸ch",
msg_business_waitting_other_lock_item,"Ðþi ð¯i phß½ng khóa v§t ph¦m",
msg_bussiness_need_credit,"Mua phäi c¥n",
msg_bussiness_need_credit2,"[%s] danh v÷ng: %s",
msg_bussiness_need_guildcontribute,"Ðµ c¯ng hiªn bang hµi: %d",
msg_calendar_create_event_error1,"Tiêu ð« sñ ki®n và nµi dung sñ ki®n không ðßþc ð¬ tr¯ng",
msg_calendar_create_event_error2,"Tiêu ð« sñ ki®n và nµi dung sñ ki®n quá dài [Tiêu ð« %d/%d][Nµi dung %d/%d]",
msg_calendar_create_event_error3,"Chï có th¬ tÕo nhi«u nh¤t %d sñ ki®n",
msg_calendar_create_event_error4,"TÕo sñ ki®n th¤t bÕi",
msg_calendar_create_event_error5,"Hãy ch÷n ngày tháng",
msg_calendar_create_event_error6,"S¡p xªp th¶i gian (%d/%d/%d)",
msg_calendar_delete_event_error1,"Sñ ki®n bÕn mu¯n xóa không t°n tÕi",
msg_calendar_event_recever,"Ngß¶i có liên quan",
msg_calendar_event_sync_from_other_ask,"%s Request sñ ki®n ð°ng bµ",
msg_calendar_event_type_1,"Event hàng ngày",
msg_calendar_event_type_2,"Event hàng tu¥n",
msg_calendar_event_type_3,"Event l­ tªt",
msg_calendar_event_type_all,"Toàn bµ",
msg_calendar_sync_event_from_other_error1,"Tên ngß¶i liên quan không ðßþc ð¬ tr¯ng",
msg_calendar_sync_event_from_other_error2,"Sñ ki®n yêu c¥u ð°ng bµ không t°n tÕi",
msg_calendar_sync_event_from_other_error3,"[%s] ngß¶i có liên quan không t°n tÕi ho£c không online",
msg_calendar_sync_event_from_other_error4,"Sñ ki®n yêu c¥u ð°ng bµ không t°n tÕi",
msg_calendar_sync_event_from_other_error5,"Chï có th¬ tÕo nhi«u nh¤t %d sñ ki®n, ð°ng bµ th¤t bÕi",
msg_calendar_sync_event_from_other_error6,"TÕo sñ ki®n ð°ng bµ th¤t bÕi",
msg_calendar_sync_event_to_other_error1,"[%s] ngß¶i có liên quan không t°n tÕi ho£c không online",
msg_calendar_sync_event_to_other_error2,"Sñ ki®n c¥n ð°ng bµ không t°n tÕi",
msg_callfriend_agree,"[%s] ð°ng ý l¶i kêu g÷i",
msg_callfriend_disagree,"[%s] không ð°ng ý l¶i kêu g÷i",
msg_callfriend_ecytype,"Không ðßþc chuy¬n trong khu vñc c¤m ð¸a",
msg_callfriend_fail_offline,"GØi th¤t bÕi, ngß¶i ch½i [%s] v¡ng m£t",
msg_callfriend_menu,"G÷i ðÕo hæu này",
msg_callfriend_not_in_area,"Khu vñc này không cho phép d¸ch chuy¬n",
msg_callfriend_request,"[%s] mu¯n g÷i bÕn ðªn bên cÕnh, bÕn ð°ng ý không?",
msg_callfriend_samescene,"Chuy¬n th¤t bÕi, hai bên không · trong cùng mµt cänh ð¸a",
msg_callfriend_useroffline,"G÷i th¤t bÕi, ngß¶i ch½i [%s] v¡ng m£t",
msg_callfriend_wararea,"Không ðßþc chuy¬n trong khu vñc chiªn ð¤u",
msg_can_not_add_gm_block,"ÐÕo hæu không th¬ ch£n GM",
msg_can_not_add_gm_enemy,"ÐÕo hæu không th¬ thêm GM vào danh sách kë thù",
msg_can_not_add_gm_friend,"ÐÕo hæu không th¬ tiªn hành ""Thêm ðÕo hæu"" ð¯i v¾i GM",
msg_can_not_be_seen_name,"†n danh",
msg_can_not_zoom_in,"Ðã · kích thß¾c to nh¤t, không th¬ phóng to thêm!",
msg_can_not_zoom_out,"Ðã · kích thß¾c nhö nh¤t, không th¬ thu nhö thêm!",
msg_can_use_mouse_to_choice,"Có th¬ ch÷n sØ døng chuµt phäi!",
MSG_CANNOT_BANK,"V§t ph¦m này không ðßþc ð£t vào thß½ng kh¯.",
MSG_CANNOT_PUTIN_TASKITEM,"Không th¬ ð£t v§t ph¦m nhi®m vø.",
msg_card_hint_head,"MCash: ",
msg_card_save_input_error,"Nh§p sai, vui lòng nh§p lÕi!",
msg_card_save_server_busy,"Máy chü b§n, vui lòng thØ lÕi sau!",
msg_card_sn_pw_invalid,"S¯ seri ho£c m§t mã vô hi®u",
msg_card_sn_pw_null,"S¯ seri ho£c m§t mã không th¬ ð¬ tr¯ng",
MSG_CD_1,"Th¶i gian ch¶: %d gi¶ %d phút %d giây",
MSG_CD_2,"Th¶i gian ch¶: %d gi¶ %d phút",
MSG_CD_3,"Th¶i gian ch¶: %d phút %d giây",
MSG_CD_4,"Th¶i gian ch¶: %d phút",
MSG_CD_5,"Th¶i gian ch¶: %d giây",
MSG_CD_6,"Th¶i gian ch¶: %.1f giây",
MSG_CDLEFT_1,"Th¶i gian ch¶ còn lÕi: %d gi¶ %d phút %d giây",
MSG_CDLEFT_2,"Th¶i gian ch¶ còn lÕi: %d gi¶ %d phút",
MSG_CDLEFT_3,"Th¶i gian ch¶ còn lÕi: %d phút %d giây",
MSG_CDLEFT_4,"Th¶i gian ch¶ còn lÕi: %d phút",
MSG_CDLEFT_5,"Th¶i gian ch¶ còn lÕi: %d giây",
MSG_CLEARSMALLPETPOINTS_ASK,"BÕn mu¯n xóa hªt ði¬m s¯ thuµc tính cüa Linh thú hi®n tÕi ?",
MSG_CLEARSMALLPETPOINTS_NONE,"Vui lòng bö Linh thú ra trß¾c",
MSG_COMPOSING_,"Ph¯i phß½ng",
msg_con,"Th¬ lñc",
msg_concentrate_gain,"Nh§n ðßþc %d kinh nghi®m, %d linh lñc",
msg_concentrate_help,"Trþ giúp Ngßng Th¥n",
msg_concentrate_start,"B¡t Ð¥u Ngßng Th¥n",
msg_concentrate_stop,"Kªt Thúc Ngßng Th¥n",
msg_concentrate1,"ÐÕo hæu ðã tØ vong, không th¬ tiªp tøc Ngßng Th¥n",
msg_concentrate10,"Không th¬ Ngßng Th¥n khi ðang m· quán kinh doanh",
msg_concentrate2,"C¤p ðµ t¯i thi¬u ð¬ Ngßng Th¥n là %d",
msg_concentrate3,"Kªt thúc Ngßng Th¥n vì ðã ð¥y thanh kinh nghi®m",
msg_concentrate4,"Kªt thúc Ngßng Th¥n vì ðã ð¥y thanh linh lñc",
msg_concentrate5,"S¯ l¥n Ngßng Th¥n không ðü nên không th¬ tiªp tøc",
msg_concentrate6,"S¯ Ngßng Th¥n Quä không ðü nên không th¬ tiªp tøc",
msg_concentrate7,"ÐÕo hæu ðã vào khu vñc C¤m Ngßng Th¥n",
msg_concentrate8,"ÐÕo hæu ðã r¶i khöi khu vñc C¤m Ngßng Th¥n",
msg_concentrate9,"Không th¬ tiªn vào trÕng thái Ngßng Th¥n tÕi khu vñc này",
msg_copy_name_info,"Sao chép tên",
msg_count_down_1,"Khoäng 5 phút næa h® th¯ng s¨ gØi ðªn ðÕo hæu Tân Thü Ti¬u L­ Bao là kÜ thú Ti¬u H±. Hãy ðªn nh§n tÕi NPC Quän Lý Bßu Ki®n.",
msg_count_down_2,"Khoäng 15 phút næa h® th¯ng s¨ gØi ðªn ðÕo hæu Tân Thü Trung L­ Bao là 2 Khinh Hß½ng Hµ Phù (Blue) khóa ð¸nh. Hãy ðªn nh§n tÕi NPC Quän Lý Bßu Ki®n.",
msg_count_down_3,"Khoäng 30 phút næa h® th¯ng s¨ gØi ðªn ðÕo hæu Tân Thü ÐÕi L­ Bao là thu¥n thú Ti¬u Hùng Miêu khóa ð¸nh. Hãy ðªn nh§n tÕi NPC Quän Lý Bßu Ki®n.",
msg_create_ectype_error,"TÕo c¤m ð¸a th¤t bÕi, vui lòng thØ lÕi.",
msg_create_ectype_so_many,"S¯ l¥n tÕo c¤m ð¸a trong 1 gi¶ cüa bÕn quá nhi«u! (C¤m ð¸a cüa nhóm không b¸ gi¾i hÕn này)",
msg_credit_show_0,"C¤p 1",
msg_credit_show_1,"C¤p 2",
msg_credit_show_10,"C¤p 11",
msg_credit_show_2,"C¤p 3",
msg_credit_show_3,"C¤p 4",
msg_credit_show_4,"C¤p 5",
msg_credit_show_5,"C¤p 6",
msg_credit_show_6,"C¤p 7",
msg_credit_show_7,"C¤p 8",
msg_credit_show_8,"C¤p 9",
msg_credit_show_9,"C¤p 10",
msg_channel_not_open,"Kênh này vçn chßa m·!",
msg_change_smallpet_appearance1,"Sau khi ðã tri®u h°i Linh Thú m¾i có th¬ dùng v§t ph¦m",
msg_change_smallpet_appearance2,"ÐÕo hæu s¨ biªn Thu¥n Thú hi®n tÕi thành %s, nªu hi®n tÕi ðã có hi®u Ñng biªn thân thì hi®u Ñng ðó s¨ b¸ m¤t, xác nh§n sØ døng v§t ph¦m?",
msg_change_smallpet_appearance3,"LoÕi biªn thân: %s",
msg_change_smallpet_appearance4,"Th¶i hÕn biªn thân kªt thúc: %d/%02d/%02d %02d: %02d",
msg_changepk_hotkey,"Ð±i dÕng PK",
msg_chat_area_limit,"Trong khu vñc này không th¬ phát ngôn nhi«u nhß v§y!",
msg_chat_content_too_long,"BÕn nói h½i dài, vui lòng nói ng¡n g÷n.",
msg_chat_help_1,"#r \Viªt t¡t Có th¬ hi¬n th¸ các câu bi¬u cäm có sÇn trong h® th¯ng. #r /s Kênh chung. #r /t Kênh nhóm. #r /g Kênh bang hµi. #r /y Kênh hô hoán. #r /p Kênh môn phái. #r /d Kênh giao d¸ch. #r /w Kênh tam gi¾i. #r /Tên ngß¶i ch½i hi¬n th¸ ðang hàn huyên v¾i ngß¶i ch½i này.",
msg_chat_help_2,"#r ##s¯ Hi¬n th¸ m£t cß¶i.#r ##r Thay ð±i dòng.#r #### Hi¬n th¸ s¯##.#r ##b Hi¬n th¸ ký tñ #bch¾p nháy#n.#r ##u Hi¬n th¸ ký tñ #ugÕch chân#n.#r ##R Hi¬n th¸ ký tñ #Rmàu ðö #n.#r ##G Hi¬n th¸ ký tñ #Gmàu xanh#n.#r ##B Hi¬n th¸ ký tñ #Bmàu lam#n.#r ##Y Hi¬n th¸ ký tñ #Ymàu vàng#n.#r ##W Hi¬n th¸ ký tñ #Wmàu tr¡ng#n.#r ##K Hi¬n th¸ ký tñ #Kmàu ðen#n.#r ##cDña theo bäng màu RGB 16 bit có th¬ Hi¬n th¸ ký tñ có màu theo bäng. #r ##n Khôi phøc lÕi màu s¡c và trÕng thái ký tñ m£c ð¸nh.",
msg_chat_help_help,"/? chat H² trþ h® th¯ng hàn huyên",
msg_chat_level_too_low,"C¤p ðµ cüa bÕn không ðü, không th¬ phát ngôn.",
msg_chat_media_priv_error,"BÕn không th¬ phát ngôn trong kênh truy«n tin",
msg_chat_private_chat_info,"Thì th¥m",
msg_chat_rclick_prompt,"Nh¤p chuµt phäi ð¬ b¡t ð¥u nói chuy®n",
msg_chat_speak_too_quick,"BÕn nói quá nhanh, vui lòng giäm t¯c ðµ.",
msg_chat_you_can_not_speak,"BÕn hi®n trong trÕng thái c¤m phát ngôn",
msg_chat_you_not_have_friend,"ÐÕo hæu hi®n không có häo hæu!",
msg_chat_you_not_have_team,"BÕn hi®n chßa có nhóm!",
msg_chit,"BÕo kích",
msg_chit_dmg,"Sát thß½ng bÕo kích",
MSG_CHIT_HINT,"Khi t¤n công kë ð¸ch c¤p ðµ %d, s¨ có %.2f%% xu¤t hi®n ðòn t¤n công chí mÕng",
msg_chit_rate,"Xác su¤t bÕo kích",
MSG_DAY,"%d d",
msg_day_before,"%d d trß¾c",
MSG_DAY2,Ngày,
msg_db_error1,"TÕm th¶i không cho phép ðång nh§p (10)",
msg_db_error2,"TÕm th¶i không cho phép ðång nh§p (11)",
msg_dead_not_talk,"ÐÕo hæu ðã tØ vong, không th¬ nói chuy®n v¾i NPC",
msg_dead_punish_prompt1,"H°i sinh thông thß¶ng s¨ làm t±n hÕi ðªn kinh nghi®m ho£c linh lñc, nên sØ døng Thª Thân Thäo Nhân ",
msg_dead_punish_prompt2,"H°i sinh thông thß¶ng không làm t±n hÕi ðªn kinh nghi®m ho£c linh lñc",
msg_dead_report,"%s b¸ hÕ gøc.",
MSG_DECOMP_CONFIRM,"BÕn th§t sñ mu¯n phân giäi [%s]?",
MSG_DECOMP_ERROR1,"V§t ph¦m này không th¬ b¸ phân giäi",
MSG_DECOMP_ERROR2,"Vui lòng nhß¶ng ra thêm ô tr¯ng trong khung trang b¸",
MSG_DECOMP_ERROR3,"Không th¬ phân giäi V§t ph¦m ðã khóa ð¸nh ho£c b¸ khóa linh h°n",
MSG_DECOMP_ERROR4,"BÕn c¥n kÛ nång phân giäi c¤p ðµ cao h½n thì m¾i có th¬ phân giäi v§t ph¦m này",
MSG_DEL_CONFIRM,"BÕn th§t sñ mu¯n bö [%s] mãi mãi?",
MSG_DEL_CONFIRM_,"Xác nh§n bö",
msg_delete_char1,"BÕn th§t sñ mu¯n xóa nhân v§t? Nhân v§t b¸ xóa s¨ không phøc h°i lÕi ðßþc, xin bÕn vui lòng suy nghî kî!",
msg_delete_char2,"Vui lòng gõ chæ ""DELETE"" vào trong khung ð¬ xác nh§n vi®c xóa!",
msg_demo_this_cloth_can_not_level_up,"Bµ y phøc này không th¬ thång c¤p!",
msg_demo_this_weapon_can_not_level_up,"Vû khí này không th¬ thång c¤p!",
msg_dex,"Nhanh nh©n",
msg_diamond_hint_head,"S¯ lßþng: ",
MSG_DISTANCE,"Khoäng cách",
MSG_DISTANCE_GE,"Khoäng cách phäi l¾n h½n %d",
msg_dmg,"Sát thß½ng",
MSG_DMG_,"Sát thß½ng: %d-%d",
MSG_DMG_MAX_,"%d - %d",
MSG_DMGABSORB_," + %d h¤p thø sát thß½ng",
msg_dmgreduce,"Mi­n giäm sát thß½ng",
MSG_DMGREDUCE_HINT,"Giäm sÑc sát thß½ng v§t lý cüa kë ð¸ch c¤p ðµ %d xu¯ng: %.2f%% ",
msg_dodge,"Né tránh",
MSG_DODGE_HINT,"Khi b¸ kë ð¸ch c¤p ðµ %d t¤n công, s¨ có %.2f%% khä nång né tránh",
msg_drop_credit_show,"Ði¬m danh v÷ng trong %s cüa bÕn ðã tång lên %d ði¬m",
MSG_DUEL,"Thách ð¤u",
MSG_DUEL_AGREE,"%s ð°ng ý thách ð¤u v¾i bÕn",
MSG_DUEL_BEGIN,"So tài b¡t ð¥u  %d",
MSG_DUEL_CANCELED,"Ðã hüy so tài!",
MSG_DUEL_DISAGREE,"%s không ð°ng ý thách ð¤u v¾i bÕn",
